timestamp,datetime_utc,iss_latitude,iss_longitude,estonia_cloud_cover,is_over_estonia,visibility_quality
1779361415,2026-05-21 11:03:35,-31.1402,-124.1033,100,False,0
1779361672,2026-05-21 11:07:52,-41.5755,-109.14,100,False,0
1779364629,2026-05-21 11:57:09,46.9102,71.5639,100,False,0
1779365229,2026-05-21 12:07:09,48.3499,128.1768,100,False,0
1779511820,2026-05-23 04:50:20,-28.4311,-44.3246,36,False,64
1779516599,2026-05-23 06:09:59,10.7869,-98.6485,21,False,79
